Unique ID,zip
1,4041
2,11243
3,13734
4,17886
5,18635
6,18956
7,22827
8,24829
9,29479
10,34295
11,34453
12,39477
13,46231
14,47954
15,60927
16,61745
17,80294
18,91410
19,1890
20,7002
21,10129
22,20139
23,28093
24,38482
25,47165
26,85050
27,95019
28,98505
29,11230
30,27310
31,31501
32,35470
33,49102
34,59254
35,73010
36,76834
37,80941
38,16641
39,19140
40,25411
41,28272
42,30810
43,35042
44,56734
45,62449
46,71044
47,76352
48,79019
49,89040
50,90083
51,90224
52,92366
53,97526
54,99223
55,2649
56,21273
57,27549
58,31026
59,33477
60,37384
61,54893
62,56122
63,83867
64,3287
65,17088
66,20505
67,23937
68,26627
69,28640
70,45481
71,46120
72,64844
73,66008
74,91411
75,94528
76,7930
77,22472
78,56121
79,59915
80,77255
81,89053
82,90222
83,92316
84,92329
85,12194
86,14035
87,22722
88,30270
89,32407
90,36310
91,37059
92,38873
93,39328
94,43724
95,60079
96,61482
97,68009
98,70043
99,76263
100,90262
101,91206
102,94061
103,2852
104,16502
105,33705
106,35226
107,41386
108,48613
109,70123
110,79331
111,92651
112,17966
113,25650
114,27690
115,40052
116,46142
117,46930
118,47345
119,49130
120,52359
121,52560
122,53074
123,68826
124,76714
125,94162
126,2537
127,5035
128,10474
129,12491
130,15144
131,24354
132,33188
133,35560
134,37406
135,37738
136,41018
137,49111
138,49355
139,61726
140,74701
141,10087
142,15926
143,19903
144,36619
145,36633
146,43436
147,58015
148,60512
149,61488
150,62414
151,62962
152,65325
153,77710
154,83638
155,98392
156,3833
157,4461
158,6451
159,7757
160,10019
161,11516
162,21152
163,28337
164,33613
165,38745
166,41265
167,48009
168,54129
169,56073
170,76934
171,89156
172,16735
173,30054
174,33966
175,35038
176,35120
177,38303
178,53208
179,61278
180,61739
181,71210
182,72325
183,76518
184,78734
185,95313
186,95558
187,96058
188,1903
189,2458
190,15057
191,15466
192,15744
193,17881
194,20254
195,21793
196,22042
197,30647