state,slope,intercept
IL,2.0076,6157
IN,2.0076,6157
MI,2.0076,6157
OH,2.0076,6157
WI,2.0076,6157
AL,2.3836,9788
KY,2.3836,9788
MS,2.3836,9788
TN,2.3836,9788
NJ,1.2272,7591
NY,1.2272,7591
PA,1.2272,7591
CO,1.2272,7591
ID,1.2272,7591
MT,1.2272,7591
UT,1.2272,7591
WY,1.2272,7591
AZ,2.8193,8275
NM,2.8193,8275
NV,2.8193,8275
CT,1.262,5558
MA,1.262,5558
ME,1.262,5558
NH,1.262,5558
RI,1.262,5558
VT,1.262,5558
AK,1.3507,6976
CA,1.3507,6976
HI,1.3507,6976
OR,1.3507,6976
WA,1.3507,6976
DC,1.5487,11226
DE,1.5487,11226
FL,1.5487,11226
GA,1.5487,11226
MD,1.5487,11226
NC,1.5487,11226
SC,1.5487,11226
VA,1.5487,11226
WV,1.5487,11226
IA,2.0714,7376
KS,2.0714,7376
MN,2.0714,7376
MO,2.0714,7376
ND,2.0714,7376
NE,2.0714,7376
SD,2.0714,7376
AR,3.0603,8975
LA,3.0603,8975
OK,3.0603,8975
TX,3.0603,8975